1|MILK DELIVERY MOBILE APP — DETAILED FEATURE SPECIFICATION|||||||||||||||||||||||||
2|Platform: Android + iOS  |  Scope: B2C Consumer App (with hooks for B2B & Inventory)  |  Business: Online Milk & Dairy Trading|||||||||||||||||||||||||
4|#|Feature (High-Level)|Module / Screen|Detailed Description & Functional Requirements|Key Dependencies / Integrations|Priority||||||||||||||||||||
15|11.0|Referrals|Growth / Referral|Unique referral code/link per user with share via WhatsApp/SMS/social. Reward both referrer and referee (wallet credit/discount) on referee's first successful order. Track referral status (invited, joined, rewarded), anti-abuse checks, and referral leaderboard/history.|Wallet, Deep-linking, CRM, Fraud checks|Should-Have||||||||||||||||||||
16|12.0|Calendar View (Date-based Ordering)|Ordering / Calendar|Interactive calendar to select specific date(s) for one-time or scheduled orders and to visualize subscription deliveries. Mark holidays/non-serviceable days, apply cut-off time for next-day delivery, and allow multi-date selection for advance orders. Sync with subscription pause/skip.|Order engine, Subscription, Serviceability calendar|Must-Have||||||||||||||||||||
17|13.0|Order Cancellation|Orders|Cancel one-time orders or individual subscription deliveries before the daily cut-off time. Show cancellation policy, eligible refund (full/partial) to Wallet, and reason capture. Auto-restore stock to Inventory and notify user. Block cancellation post cut-off with clear messaging.|Order engine, Wallet (refund), Inventory, Notifications|Must-Have||||||||||||||||||||
18|14.0|Wallet Recharge|Wallet|Prepaid wallet top-up via payment gateway with suggested amounts and custom entry. Apply recharge offers/cashback, low-balance auto-recharge option, and instant balance update. Secure, idempotent crediting with transaction record. Used as primary payment source for subscriptions.|Payment Gateway, Transaction ledger, Offers|Must-Have||||||||||||||||||||
19|15.0|Order Confirmation / Preview|Checkout|Pre-payment review screen summarizing items, quantities, delivery address, slot/date, price breakup (subtotal, GST, delivery fee, discounts, offers, wallet used, net payable). Edit before confirming. On confirm, place order, deduct payment, and show success screen with order ID and ETA.|Pricing/Tax engine, Offers, Wallet, Order engine|Must-Have||||||||||||||||||||
20|16.0|Order Details|Orders|Full detail of a single order: items with images/qty/price, itemized charges, delivery address & slot, assigned delivery partner (if available), payment method, invoice link, and action buttons (cancel, reorder, feedback, support).|Order engine, Invoice, Delivery tracking|Must-Have||||||||||||||||||||
21|17.0|Order Status|Tracking|Real-time status lifecycle: Placed → Confirmed → Packed → Out for Delivery → Delivered (or Cancelled/Failed). Push/SMS notifications on each transition, optional live delivery tracking/ETA, and delivery proof (OTP/photo). Status visible in order list and detail.|Order engine, Delivery/Logistics, Notifications, Maps|Must-Have||||||||||||||||||||
22|18.0|Inventory Module Integration|Backend Integration|Real-time, two-way sync between app and Inventory: fetch live stock & availability for listing/cart, reserve stock on order, decrement on confirmation, and restore on cancellation. Handle stock-outs gracefully, batch/expiry awareness for perishables, and prevent overselling.|Inventory Module (APIs), Order engine|Must-Have||||||||||||||||||||
23|19.0|Invoice Generation (GST, Discounts, Offers)|Billing / Invoice|Generate GST-compliant tax invoice per order after applying discounts and offers: line items, HSN codes, taxable value, CGST/SGST/IGST, discounts, offer adjustments, wallet used, and net payable. Sequential invoice numbering, PDF download/share, and accounting-system feed for reconciliation.|Pricing/Tax engine, Accounting, PDF service, Offers|Must-Have||||||||||||||||||||
25|ADMIN / BACK-OFFICE FEATURES (Management Console)|||||||||||||||||||||||||
26|#|Feature (High-Level)|Module / Screen|Detailed Description & Functional Requirements|Key Dependencies / Integrations|Priority||||||||||||||||||||
27|20.0|Enable / Disable User Account|Admin / User Management|Admin ability to activate, deactivate (soft-block), suspend, or reactivate any customer/B2B account. Deactivation instantly blocks login, pauses active subscriptions, and halts auto-debits while preserving history and wallet balance. Capture reason, effective date, and admin audit trail. Bulk enable/disable and search/filter by status, KYC, or risk flags. Optional auto-disable on repeated failed payments or fraud signals.|Auth server, Subscription engine, Wallet, Audit log|Must-Have||||||||||||||||||||
28|21.0|View Recharge / Transaction Status|Admin / Payments & Wallet|Consolidated admin view of all wallet recharges and transactions with status (Success / Pending / Failed / Refunded), amount, method (UPI/card/net-banking), gateway reference, timestamp, and linked user/order. Filter by date, status, user, and payment method; drill into a single transaction, trigger manual reconciliation, force-refund, or re-verify pending payments against the gateway. Export/download statements for accounting.|Payment Gateway, Wallet, Transaction ledger, Accounting|Must-Have||||||||||||||||||||
29|22.0|Management Reporting Suite|Admin / Reports & Analytics|Dashboard + downloadable reports for management decision-making. Proposed reports: (1) Daily/Monthly Sales & Revenue (B2C vs B2B, one-time vs subscription); (2) Subscription Analytics (active/paused/stopped, churn, retention, MRR); (3) Delivery Performance (on-time %, failed/returned, per delivery-staff productivity); (4) Inventory & Wastage (stock movement, spoilage %, stock-outs); (5) Customer Analytics (new vs repeat, AOV, top customers, geography/pincode heatmap); (6) Payments & Wallet (recharge trends, refunds, pending, gateway reconciliation); (7) Offers/Referrals ROI; (8) Complaints/Feedback (issue tags, resolution SLA). Each report supports date-range filters, charts, drill-down, scheduling (auto-email), and PDF/Excel export.|Order engine, Subscription, Inventory, Wallet, CRM, BI/Analytics service|Must-Have||||||||||||||||||||
30|23.0|Product & Catalog Management|Admin / Catalog|Create, edit, activate/deactivate products; manage categories, images, units, descriptions, pricing tiers (B2C/B2B), taxes/HSN, and subscription eligibility. Schedule price changes and bulk import/export via CSV. Sync with Inventory for live stock.|Inventory, Pricing/Tax engine, CDN|Must-Have||||||||||||||||||||
31|24.0|Order & Subscription Management|Admin / Operations|View, edit, reassign, or cancel any order/subscription on behalf of a customer. Override cut-off times, force stock reservation, reschedule deliveries, and handle escalations. Manage vacation-hold requests and mass pause/resume for outages or holidays.|Order engine, Subscription, Inventory, Notifications|Must-Have||||||||||||||||||||
32|25.0|Delivery & Route Management|Admin / Logistics|Assign daily delivery runs to staff/vehicles, optimize routes, track live delivery status, and reassign on the fly. Monitor per-agent load, delays, and delivery proof (OTP/photo). Manage serviceable pincodes/zones and non-serviceable/holiday calendar.|Delivery/Logistics, Maps, Serviceability, Order engine|Should-Have||||||||||||||||||||
33|26.0|Offer, Coupon & Referral Management|Admin / Promotions|Create and manage offers, coupons, promo codes, and referral reward rules with validity, eligibility, usage caps, and budgets. Enable/disable campaigns instantly, monitor redemption, cost, and ROI, and detect referral/coupon abuse.|Pricing/Offers engine, CRM, Fraud checks|Should-Have||||||||||||||||||||
34|27.0|Customer Support / CRM & Complaint Desk|Admin / Support|Ticketing for complaints and feedback with issue tags, SLA timers, assignment, and resolution tracking. Access full customer 360° view (orders, wallet, subscriptions, tickets). Issue goodwill wallet credits/refunds with approval workflow and notify customers.|CRM/Support, Order engine, Wallet, Notifications|Should-Have||||||||||||||||||||
35|28.0|Role-Based Access Control (RBAC) & Admin Users|Admin / Security|Create admin/staff sub-accounts with granular, role-based permissions (Ops, Finance, Support, Marketing, Super-Admin). Enforce least-privilege access, maintain full audit logs of admin actions, support 2FA for admin login, and manage session/IP restrictions.|Auth server (JWT/2FA), Audit log|Must-Have||||||||||||||||||||
36|29.0|Inventory & Procurement Control|Admin / Inventory|Admin oversight of stock: manual adjustments, batch/expiry tracking, reorder alerts, wastage/spoilage logging, and stock reconciliation. Manage procurement from the parent plant and record inward/outward movements with audit trail.|Inventory Module, Accounting, Order engine|No||||||||||||||||||||
37|30.0|Notification & Communication Manager|Admin / Engagement|Compose and schedule push/SMS/email/WhatsApp campaigns and transactional templates. Target segments (subscribers, lapsed, B2B), manage OTP/order-status templates, and view delivery/open metrics with opt-out compliance.|Notifications (Push/SMS/Email/WhatsApp), CRM|Could-Have||||||||||||||||||||
38|31.0|System Configuration & Audit Log|Admin / Settings|Central settings for delivery slots, cut-off times, delivery/GST charges, serviceable zones, wallet rules, and business parameters. Immutable audit log of all critical changes (who/what/when) and data-export/backup controls for compliance.|All backend services, Audit log, Accounting|Should-Have||||||||||||||||||||
